symbol,passed,failed,unknown,conditions_met,total_conditions,passes_screen,score
JCTLTD,"['sales_qtr_positive', 'promo_hold_stable', 'low_debt']","['pe_positive', 'eps_positive', 'yoy_sales_growth', 'net_profit_positive', 'yoy_profit_not_declining', 'low_pledging', 'unpledged_promo_hold', 'current_ratio_healthy', 'roce_decent']",[],3,12,False,15
JDCABLES,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'yoy_sales_growth', 'net_profit_positive', 'yoy_profit_not_declining', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy', 'roce_decent']",[],[],12,12,True,87
JEL,"['yoy_profit_not_declining', 'low_pledging', 'promo_hold_stable', 'low_debt']","['pe_positive', 'eps_positive', 'sales_qtr_positive', 'yoy_sales_growth', 'net_profit_positive', 'unpledged_promo_hold', 'current_ratio_healthy', 'roce_decent']",[],4,12,False,33
JENBURPH,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'yoy_sales_growth', 'net_profit_positive', 'yoy_profit_not_declining', 'low_pledging', 'unpledged_promo_hold', 'low_debt', 'current_ratio_healthy', 'roce_decent']",['promo_hold_stable'],[],11,12,False,86
JETAIRWAYS,"['sales_qtr_positive', 'yoy_sales_growth', 'yoy_profit_not_declining', 'promo_hold_stable']","['pe_positive', 'eps_positive', 'net_profit_positive', 'low_pledging', 'unpledged_promo_hold', 'low_debt', 'current_ratio_healthy', 'roce_decent']",[],4,12,False,20
JETFREIGHT,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'yoy_sales_growth', 'net_profit_positive', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy', 'roce_decent']","['yoy_profit_not_declining', 'low_pledging']",[],10,12,False,61
JETKINGQ,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'low_pledging', 'unpledged_promo_hold', 'low_debt', 'current_ratio_healthy']","['yoy_sales_growth', 'net_profit_positive', 'yoy_profit_not_declining', 'promo_hold_stable', 'roce_decent']",[],7,12,False,51
JETKNIT,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'net_profit_positive', 'yoy_profit_not_declining', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy']","['yoy_sales_growth', 'roce_decent']",[],10,12,False,55
JETMALL,"['sales_qtr_positive', 'low_pledging', 'low_debt', 'current_ratio_healthy']","['pe_positive', 'eps_positive', 'yoy_sales_growth', 'net_profit_positive', 'yoy_profit_not_declining', 'unpledged_promo_hold', 'promo_hold_stable', 'roce_decent']",[],4,12,False,20
JETSOLAR,"['sales_qtr_positive', 'net_profit_positive', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy']","['pe_positive', 'eps_positive', 'yoy_sales_growth', 'yoy_profit_not_declining', 'low_pledging', 'unpledged_promo_hold', 'roce_decent']",[],5,12,False,35
JEYYAM,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'yoy_sales_growth', 'net_profit_positive', 'yoy_profit_not_declining', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy', 'roce_decent']",[],[],12,12,True,84
JFL,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'yoy_sales_growth', 'net_profit_positive', 'yoy_profit_not_declining', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy', 'roce_decent']",[],[],12,12,True,88
JFLLIFE,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'yoy_sales_growth', 'net_profit_positive', 'yoy_profit_not_declining', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy', 'roce_decent']",[],[],12,12,True,85
JGCHEM,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'yoy_sales_growth', 'net_profit_positive', 'yoy_profit_not_declining', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy', 'roce_decent']",[],[],12,12,True,90
JGTL,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'yoy_sales_growth', 'net_profit_positive', 'yoy_profit_not_declining', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy', 'roce_decent']",[],[],12,12,True,76
JHACC,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'yoy_sales_growth', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy']","['net_profit_positive', 'yoy_profit_not_declining', 'roce_decent']",[],9,12,False,53
JHS,"['sales_qtr_positive', 'yoy_sales_growth', 'net_profit_positive', 'yoy_profit_not_declining', 'low_pledging', 'unpledged_promo_hold', 'low_debt', 'current_ratio_healthy']","['pe_positive', 'eps_positive', 'promo_hold_stable', 'roce_decent']",[],8,12,False,50
JIGAR,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'net_profit_positive', 'low_pledging', 'unpledged_promo_hold', 'low_debt', 'current_ratio_healthy', 'roce_decent']","['yoy_sales_growth', 'yoy_profit_not_declining', 'promo_hold_stable']",[],9,12,False,60
JIKIND,"['sales_qtr_positive', 'yoy_profit_not_declining', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable']","['pe_positive', 'eps_positive', 'yoy_sales_growth', 'net_profit_positive', 'low_debt', 'current_ratio_healthy', 'roce_decent']",[],5,12,False,28
JINAAM,"['pe_positive', 'eps_positive', 'unpledged_promo_hold', 'promo_hold_stable', 'current_ratio_healthy']","['sales_qtr_positive', 'yoy_sales_growth', 'net_profit_positive', 'yoy_profit_not_declining', 'low_pledging', 'low_debt', 'roce_decent']",[],5,12,False,28
JINDALPHOT,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'yoy_sales_growth', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy', 'roce_decent']","['net_profit_positive', 'yoy_profit_not_declining']",[],10,12,False,70
JINDALPOLY,"['sales_qtr_positive', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy']","['pe_positive', 'eps_positive', 'yoy_sales_growth', 'net_profit_positive', 'yoy_profit_not_declining', 'roce_decent']",[],6,12,False,40
JINDALSAW,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'net_profit_positive', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy', 'roce_decent']","['yoy_sales_growth', 'yoy_profit_not_declining']",[],10,12,False,72
JINDALSTEL,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'yoy_sales_growth', 'net_profit_positive', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt', 'roce_decent']","['yoy_profit_not_declining', 'low_pledging', 'current_ratio_healthy']",[],9,12,False,64
JINDCAP,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'net_profit_positive', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy', 'roce_decent']","['yoy_sales_growth', 'yoy_profit_not_declining']",[],10,12,False,70
JINDCOT,"['eps_positive', 'sales_qtr_positive', 'net_profit_positive', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy']","['pe_positive', 'yoy_sales_growth', 'yoy_profit_not_declining', 'low_pledging', 'unpledged_promo_hold', 'roce_decent']",[],6,12,False,37
JINDHOT,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'yoy_sales_growth', 'net_profit_positive', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable']","['yoy_profit_not_declining', 'low_debt', 'current_ratio_healthy', 'roce_decent']",[],8,12,False,48
JINDRILL,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'yoy_sales_growth', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy', 'roce_decent']","['net_profit_positive', 'yoy_profit_not_declining']",[],10,12,False,85
JINDWORLD,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'net_profit_positive', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy', 'roce_decent']","['yoy_sales_growth', 'yoy_profit_not_declining', 'low_pledging']",[],9,12,False,63
JIOFIN,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'yoy_sales_growth', 'net_profit_positive', 'yoy_profit_not_declining', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy']",['roce_decent'],[],11,12,False,68
JISLDVREQS,"['sales_qtr_positive', 'yoy_sales_growth', 'net_profit_positive', 'yoy_profit_not_declining', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable']","['pe_positive', 'eps_positive', 'low_debt', 'current_ratio_healthy', 'roce_decent']",[],7,12,False,35
JISLJALEQS,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'yoy_sales_growth', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy']","['net_profit_positive', 'yoy_profit_not_declining', 'low_pledging', 'unpledged_promo_hold', 'roce_decent']",[],7,12,False,35
JITFINFRA,"['sales_qtr_positive', 'yoy_sales_growth', 'net_profit_positive', 'yoy_profit_not_declining', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'current_ratio_healthy', 'roce_decent']","['pe_positive', 'eps_positive', 'low_debt']",[],9,12,False,60
JIWANRAM,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'net_profit_positive', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy']","['yoy_sales_growth', 'yoy_profit_not_declining', 'roce_decent']",[],9,12,False,55
JIYAECO,"['sales_qtr_positive', 'net_profit_positive', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy']","['pe_positive', 'eps_positive', 'yoy_sales_growth', 'yoy_profit_not_declining', 'roce_decent']",[],7,12,False,40
JJFINCOR,"['sales_qtr_positive', 'net_profit_positive', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy']","['pe_positive', 'eps_positive', 'yoy_sales_growth', 'yoy_profit_not_declining', 'roce_decent']",[],7,12,False,45
JKAGRI,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'yoy_profit_not_declining', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy']","['yoy_sales_growth', 'net_profit_positive', 'roce_decent']",[],9,12,False,55
